out_msg=[src=9, dest=0, size=5, addr=160320, type=DATA, fixed=None]: in_msg=[src=0, dest=52, size=2, addr=269568, type=GETX, fixed=None]: delay=14
out_msg=[src=0, dest=52, size=2, addr=269568, type=GETX, fixed=None]: in_msg=[src=52, dest=63, size=2, addr=269568, type=GETS, fixed=des]: delay=4
out_msg=[src=52, dest=63, size=2, addr=269568, type=GETS, fixed=des]: in_msg=[src=63, dest=52, size=5, addr=269568, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=52, size=5, addr=269568, type=MEMORY_DATA, fixed=src]: in_msg=[src=52, dest=0, size=5, addr=269568, type=DATA, fixed=None]: delay=3
out_msg=[src=52, dest=0, size=5, addr=269568, type=DATA, fixed=None]: in_msg=[src=0, dest=52, size=2, addr=269568, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=52, dest=0, size=5, addr=269568, type=DATA, fixed=None]: in_msg=[src=0, dest=10, size=2, addr=160384, type=GET_INSTR, fixed=None]: delay=60
out_msg=[src=0, dest=10, size=2, addr=160384, type=GET_INSTR, fixed=None]: in_msg=[src=10, dest=0, size=2, addr=160384, type=GETS, fixed=des]: delay=4
out_msg=[src=10, dest=0, size=2, addr=160384, type=GETS, fixed=des]: in_msg=[src=0, dest=10, size=5, addr=160384, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=10, size=5, addr=160384, type=MEMORY_DATA, fixed=src]: in_msg=[src=10, dest=0, size=5, addr=160384, type=DATA, fixed=None]: delay=3
out_msg=[src=10, dest=0, size=5, addr=160384, type=DATA, fixed=None]: in_msg=[src=0, dest=11, size=2, addr=160448, type=GET_INSTR, fixed=None]: delay=64
out_msg=[src=0, dest=11, size=2, addr=160448, type=GET_INSTR, fixed=None]: in_msg=[src=11, dest=0, size=2, addr=160448, type=GETS, fixed=des]: delay=4
out_msg=[src=11, dest=0, size=2, addr=160448, type=GETS, fixed=des]: in_msg=[src=0, dest=11, size=5, addr=160448, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=11, size=5, addr=160448, type=MEMORY_DATA, fixed=src]: in_msg=[src=11, dest=0, size=5, addr=160448, type=DATA, fixed=None]: delay=3
out_msg=[src=11, dest=0, size=5, addr=160448, type=DATA, fixed=None]: in_msg=[src=0, dest=12, size=2, addr=160512, type=GET_INSTR, fixed=None]: delay=58
out_msg=[src=0, dest=12, size=2, addr=160512, type=GET_INSTR, fixed=None]: in_msg=[src=12, dest=7, size=2, addr=160512, type=GETS, fixed=des]: delay=4
out_msg=[src=12, dest=7, size=2, addr=160512, type=GETS, fixed=des]: in_msg=[src=7, dest=12, size=5, addr=160512, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=7, dest=12, size=5, addr=160512, type=MEMORY_DATA, fixed=src]: in_msg=[src=12, dest=0, size=5, addr=160512, type=DATA, fixed=None]: delay=3
out_msg=[src=12, dest=0, size=5, addr=160512, type=DATA, fixed=None]: in_msg=[src=0, dest=13, size=2, addr=160576, type=GET_INSTR, fixed=None]: delay=54
out_msg=[src=0, dest=13, size=2, addr=160576, type=GET_INSTR, fixed=None]: in_msg=[src=13, dest=7, size=2, addr=160576, type=GETS, fixed=des]: delay=4
out_msg=[src=13, dest=7, size=2, addr=160576, type=GETS, fixed=des]: in_msg=[src=7, dest=13, size=5, addr=160576, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=7, dest=13, size=5, addr=160576, type=MEMORY_DATA, fixed=src]: in_msg=[src=13, dest=0, size=5, addr=160576, type=DATA, fixed=None]: delay=3
out_msg=[src=13, dest=0, size=5, addr=160576, type=DATA, fixed=None]: in_msg=[src=0, dest=53, size=2, addr=27968, type=GETS, fixed=None]: delay=6
out_msg=[src=0, dest=53, size=2, addr=27968, type=GETS, fixed=None]: in_msg=[src=53, dest=63, size=2, addr=27968, type=GETS, fixed=des]: delay=4
out_msg=[src=53, dest=63, size=2, addr=27968, type=GETS, fixed=des]: in_msg=[src=63, dest=53, size=5, addr=27968, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=53, size=5, addr=27968, type=MEMORY_DATA, fixed=src]: in_msg=[src=53, dest=0, size=5, addr=27968, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=53, dest=0, size=5, addr=27968, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=53, size=2, addr=27968, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=53, dest=0, size=5, addr=27968, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=24, size=2, addr=251392, type=GETX, fixed=None]: delay=26
out_msg=[src=0, dest=24, size=2, addr=251392, type=GETX, fixed=None]: in_msg=[src=24, dest=0, size=2, addr=251392, type=GETS, fixed=des]: delay=4
out_msg=[src=24, dest=0, size=2, addr=251392, type=GETS, fixed=des]: in_msg=[src=0, dest=24, size=5, addr=251392, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=24, size=5, addr=251392, type=MEMORY_DATA, fixed=src]: in_msg=[src=24, dest=0, size=5, addr=251392, type=DATA, fixed=None]: delay=3
